div,year,quarter,n_samples,n0,n1,n2,n3,ton,mw0,mw1,mw2,mw3,mw4
IV,1995,4,4,0,0,0,0,0,0.0059969643,0.0105908528,0.0140753878,0.0165640601,
IV,1996,1,2,307788.88546,293461.71588,800672.26741,233955.61991,21298.070994,0.0066956511,0.0110181398,0.0147500974,0.0179155759,
IV,1996,2,12,1114138.7865,985571.06775,2133762.441,746864.50068,66081.492199,0.0078017727,0.0118510734,0.0153860426,0.0172311125,
IV,1996,3,8,1697737.5615,281309.40136,101296.15758,43327.851515,8142.8116425,0.0028855721,0.0063992167,0.0091394627,0.0119534017,
IV,1996,4,3,0,0,0,0,0,0.0059969643,0.0105908528,0.0140753878,0.0165640601,
IV,1997,1,9,7953.3919634,2370960.474,98848.271008,148684.05507,34507.998858,0.0072420915,0.0128451657,0.015082149,0.0167869748,
IV,1997,2,34,203477.34598,4612858.9818,845974.25159,237451.58324,76549.1895,0.0059128347,0.0121961242,0.0166084096,0.0211883236,
IV,1997,3,12,634682.57847,728384.66195,156884.74092,32364.90722,14169.99019,0.0071930512,0.0098422767,0.0123864611,0.0152163496,
IV,1997,4,1,0,0,0,0,0,0.0059969643,0.0105908528,0.0140753878,0.0165640601,
IV,1998,1,25,119387.04432,3917601.5471,1187754.2141,186053.18595,80062.324362,0.0058373742,0.0141152453,0.0171839604,0.0196484556,
IV,1998,2,38,5569784.0314,2803293.3472,1326137.0706,203466.84507,88467.685449,0.0051023827,0.0126017853,0.0158905584,0.0178939506,
IV,1998,3,16,1788977.2985,1029381.7702,417709.34742,207494.16322,20532.77743,0.0043402082,0.0064122386,0.0098874234,0.0098197117,
IV,1998,4,3,0,0,0,0,0,0.0059969643,0.0105908528,0.0140753878,0.0165640601,
IV,1999,1,41,969.35804036,16124223.793,340800.88837,21151.377458,161537.28817,0.005312438,0.0097533138,0.0115934505,0.0149578952,
IV,1999,2,25,134463.26861,2473609.2259,208373.25127,29941.608889,33029.934397,0.004696043,0.011707387,0.0140211878,0.0171405139,
IV,1999,3,24,2239792.3109,3265203.3289,543723.45759,130762.7153,48621.036222,0.0042130295,0.0095076012,0.0116836041,0.0136722816,
IV,1999,4,1,0,0,0,0,0,0.0059969643,0.0105908528,0.0140753878,0.0165640601,
IV,2000,1,29,7262.1162949,10314078.086,1287821.6686,51710.155552,147365.13517,0.0067608146,0.0123374017,0.0148708575,0.0177149515,
IV,2000,2,22,94808.747679,902710.49569,301598.6433,31213.739766,20013.828613,0.0065160997,0.0149617684,0.017663521,0.017858444,
IV,2000,3,22,1240936.57,2918826.6433,1098951.947,128335.43319,54703.972048,0.005408842,0.0106995603,0.0134330797,0.0155800421,
IV,2000,4,13,0,0,0,0,0,0.0036558917,0.0049241042,0.0125939059,0.0144717458,
IV,2001,1,23,18474.845577,5815235.0688,262710.59149,7306.9204577,66605.648917,0.0066974633,0.010875733,0.0118666403,0.0163571787,
IV,2001,2,9,658180.39539,4235782.3562,1294891.2037,356898.43704,77990.379035,0.0050055066,0.011940867,0.014056702,0.0166428218,
IV,2001,3,17,168183.82692,526082.71431,43617.826833,9123.3572985,8722.2713626,0.0066156247,0.0128854005,0.0154507992,0.0171990984,
IV,2001,4,4,0,0,0,0,0,0.0059969643,0.0105908528,0.0140753878,0.0165640601,
IV,2002,1,26,119276.82573,6733658.9085,419738.42438,73304.731391,82357.331826,0.0074180818,0.0110081304,0.0147235708,0.0159170716,
IV,2002,2,37,1063869.4738,4441764.7524,438814.42606,37834.469206,70220.396812,0.0083407711,0.0122037405,0.0148611101,0.0163777434,
IV,2002,3,28,1274781.7489,1167004.0448,249203.91095,53486.026615,22438.929266,0.0047925907,0.0103688595,0.0137208135,0.0151374242,
IV,2002,4,5,0,0,0,0,0,0.0069765921,0.0116172081,0.0143754127,0.0159555166,
IV,2003,1,12,210344.81514,4096666.2149,477347.30938,61712.545295,61199.292061,0.0043041597,0.0125634434,0.0149596636,0.0232571985,
IV,2003,2,59,2929193.7193,7022636.4948,880554.24849,153059.9961,109361.77867,0.0057468876,0.0109496486,0.0147161905,0.0174495936,
IV,2003,3,17,721189.83416,38301.990873,27349.30655,22412.590102,4692.1303796,0.0048641713,0.0123573778,0.0140060045,0.014624494,
IV,2003,4,2,0,0,0,0,0,0.0059969643,0.0105908528,0.0140753878,0.0165640601,
IV,2004,1,26,289411.88846,4363736.0436,547753.54335,56100.552285,62080.50265,0.0089225419,0.0116207617,0.0142935752,0.0170248279,
IV,2004,2,43,26022248.459,3600194.105,201228.85332,40225.697921,149527.36697,0.0042083614,0.0101222638,0.0145930297,0.0158235664,
IV,2004,3,24,5273983.9127,279055.33314,38072.991528,12638.335634,19613.22875,0.0030790276,0.0099366974,0.0114851033,0.013002203,
IV,2004,4,13,0,0,0,0,0,0.0047886407,0.0101839265,0.0118473894,0.0134763659,
IV,2005,1,77,125380.18051,13538663.562,340943.60185,70423.548227,138761.59571,0.0076653935,0.0097488447,0.013506999,0.0166124862,
IV,2005,2,56,953641.63597,7839583.0896,189261.87287,15030.607782,89625.175539,0.0066972648,0.0103093814,0.0116090278,0.0146179791,
IV,2005,3,56,1264039.2522,5289155.2459,185539.45403,28381.239908,52474.177773,0.0055958437,0.008099818,0.0115790296,0.0144902022,
IV,2005,4,2,0,0,0,0,0,0.0059969643,0.0105908528,0.0140753878,0.0165640601,
IV,2006,1,23,0,2158539.8558,1308099.0342,218011.71266,44778.898121,0.005726121,0.0109167575,0.0136001651,0.0156570107,
IV,2006,2,7,369179.37578,550490.59703,947965.52503,184673.64988,28946.924106,0.0077944663,0.0140551154,0.0158285631,0.0180216651,
IV,2006,3,13,187415.74892,134836.9399,161448.33989,10099.605548,4388.2866409,0.0041534495,0.0099699589,0.0131611544,0.0139311888,
IV,2006,4,0,0,0,0,0,0,0.0059969643,0.0105908528,0.0140753878,0.0165640601,
IV,2007,1,34,0,1744064.5088,156608.88574,49822.279254,23608.653635,0.005726121,0.0118922923,0.0133651967,0.0155446924,
IV,2007,2,40,771901.43964,4371599.0606,1450886.4705,180272.41462,71503.059724,0.006658867,0.0102428057,0.0129324313,0.0156461694,
IV,2007,3,13,457228.31545,284232.42286,15901.829188,17451.928913,4792.3707236,0.0046718456,0.0079009734,0.0119823117,0.0126070393,
IV,2007,4,4,0,0,0,0,0,0.0059969643,0.0105908528,0.0140753878,0.0165640601,
IV,2008,1,10,13569.222868,490367.06262,1441302.7044,266546.43629,25347.914831,0.0063234329,0.0103333282,0.0115503542,0.0132979368,
IV,2008,2,9,2264118.9323,1920213.7513,876336.46991,202389.51253,40059.714446,0.0045694398,0.008075781,0.0127417251,0.0147479194,
IV,2008,3,14,906606.63122,93148.760729,71109.853994,18243.920634,4562.5434026,0.0033796594,0.007314029,0.0090373352,0.0095695115,
IV,2008,4,5,0,0,0,0,0,0.0048630471,0.0079742272,0.0101921086,0.0105271054,
IV,2009,1,33,0,4858484.6047,151194.26614,26226.363778,49335.719324,0.005726121,0.0096749946,0.0129059916,0.0144318622,
IV,2009,2,36,296910.50194,8258652.0687,436835.26281,94694.2736,88401.737274,0.0046207099,0.0096444622,0.013608965,0.0151621699,
