div,year,quarter,n_samples,n0,n1,n2,n3,ton,mw0,mw1,mw2,mw3
IV,1985,4,4,11191.230475,28500.308581,19913.223859,1969.4397223,725.71072556,0.0072579963,0.009879995,0.0165839916,0.0165839916
IV,1986,1,4,0,166588.55644,424245.15114,325737.31235,10802.663963,0.0057220959,0.0072579963,0.009879995,0.0165839916
IV,1986,2,1,0,156912.80215,399604.25188,306817.92039,10175.226375,0.0051415345,0.0072579963,0.009879995,0.0165839916
IV,1986,3,0,591964.97231,47174.899441,395.66482781,0,5816.1332455,0.0085270558,0.01610197,0.022256464,0.0166936455
IV,1986,4,1,249212.57719,19860.260012,166.571767,0,2448.5461525,0.0085967813,0.0152427795,0.0203790469,0.0162173138
IV,1987,1,16,3715.7091201,2018715.1482,86135.838827,720.4117417,18530.336973,0.0064763722,0.0086455477,0.0121003292,0.0154114458
IV,1987,2,15,67522.195923,1814200.9766,225645.95283,920.61899331,20004.983629,0.005881119,0.0093873585,0.0113535945,0.0167604508
IV,1987,3,4,238806.83371,805045.99976,38349.669419,22186.14163,12992.054095,0.0067381943,0.0127239936,0.0175873576,0.0209616336
IV,1987,4,3,108282.13669,365031.85289,17388.883231,10059.857933,5890.9845903,0.0071415497,0.0126625378,0.0169293567,0.0199873673
IV,1988,1,8,4023498.5411,1803428.763,2421559.9318,29831.677712,63010.880254,0.0043473177,0.0090197694,0.0119089738,0.0138794739
IV,1988,2,4,1217474.4115,292448.09244,498627.58985,9031.1818195,14206.081061,0.0046863312,0.0086684268,0.0117104148,0.0139898788
IV,1988,3,9,1873767.7826,652416.74921,58454.567824,5423.9516215,20546.566577,0.0052939278,0.0144153006,0.0194224381,0.0160144028
IV,1988,4,1,82908.304044,31317.43443,4691.2416671,211.64595646,989.85954089,0.006592482,0.0116889969,0.0156277676,0.0184506675
IV,1989,1,13,14580.244469,1855205.9611,3361970.34,3728.0838804,49764.120282,0.0056520767,0.008618364,0.0100035875,0.0163909476
IV,1989,2,0,948.80394363,82878.390221,82421.31202,216.27339392,1599.4536009,0.0044324334,0.0081987856,0.0110759637,0.0131799699
IV,1989,3,7,500985.41173,406910.17021,16779.967287,9243.1940296,6088.1164054,0.0047833514,0.0081912356,0.0126015826,0.0159226263
IV,1989,4,2,52644.240968,43370.299151,2139.5888946,1107.0091141,674.72540106,0.0048994874,0.0086871823,0.0116144497,0.0137124095
IV,1990,1,4,1920.0346844,2747566.5974,2152559.7403,227224.77387,42158.300814,0.0042638786,0.0070172553,0.0093838339,0.011643856
IV,1990,2,0,1524.7428411,2181904.5948,1709396.2316,180444.31702,33478.857379,0.0037812524,0.0069942795,0.0094487633,0.0113746015
IV,1990,3,13,296226.42533,57482.960794,2073.056213,474.87785749,1942.1872461,0.0044574649,0.0102016169,0.0135527105,0.0152748225
IV,1990,4,1,68791.440486,15053.662687,710.72958043,137.40389307,481.91718103,0.0049400975,0.0087591873,0.0117107177,0.0138260667
IV,1991,1,6,45394.798139,1709136.9675,2355215.9359,7688.4869562,61541.579115,0.0069082993,0.014260648,0.0155936349,0.0166811636
IV,1991,2,28,1625921.9974,3011636.7516,467004.39475,8288.5149916,62034.316458,0.0057037249,0.0145419868,0.0189102093,0.0162460455
IV,1991,3,15,215131.03078,57829.792126,992.12129488,100.05934312,1757.0681415,0.0052693787,0.010498264,0.0147401657,0.0172378061
IV,1991,4,8,523772.49459,37301.181648,734.80880666,90.369472816,3725.8713172,0.0062193676,0.0121960275,0.015956597,0.0186603549
IV,1992,1,41,44035.324703,9618040.8093,1065565.9999,137622.6707,111423.65948,0.0066249503,0.0099230857,0.0127581901,0.0152154751
IV,1992,2,34,254803.83416,1172359.0333,116160.73839,22603.075319,17893.401066,0.0059599008,0.0120735405,0.0155094534,0.0185222509
IV,1992,3,24,1365521.5841,1550338.6243,208430.63116,4608.3073978,23429.486281,0.0036507537,0.0099199943,0.014317192,0.0175360726
IV,1992,4,4,634037.58478,377008.84559,46700.774389,988.74232023,6232.0913249,0.0044012633,0.0078037913,0.0104333877,0.012318008
IV,1993,1,21,193265.55728,3021592.7889,4001170.2824,1116901.6372,97887.935718,0.0063820822,0.0108642551,0.0123087916,0.0130476759
IV,1993,2,30,1488116.0542,5017898.9924,1180690.3522,21943.899884,81650.486677,0.0079999487,0.0105575647,0.0138885879,0.0168912473
IV,1993,3,24,1928283.7089,1821394.0011,292555.04739,28044.976985,23312.495599,0.002417669,0.0080809405,0.0120310413,0.0146987224
IV,1993,4,7,6905627.5803,574691.33239,29265.385222,2918.4514801,23743.925156,0.0023537081,0.0123737202,0.0116255519,0.0132939016
IV,1994,1,42,979008.21621,36934891.656,394208.11216,77553.024935,258344.97983,0.0059237212,0.0066980447,0.0104163236,0.0134158162
IV,1994,2,50,2636794.843,7054218.7735,1242387.7246,117810.32843,110698.59941,0.0079147746,0.010282754,0.0124741599,0.0152314806
IV,1994,3,32,865462.10443,2956190.578,499514.97383,16753.42243,32316.38312,0.0028901409,0.0083207317,0.009879899,0.0168472844
IV,1994,4,5,3505217.0052,1178245.4667,48148.458912,128.53402052,22112.711704,0.0037729887,0.0071243404,0.010206918,0.0147698174
IV,1995,1,40,215052.45322,23078414.954,2207345.9811,245290.66766,221970.95335,0.003766411,0.0082811156,0.0122048387,0.0126578696
IV,1995,2,47,692112.68415,9093699.0931,2435440.9447,380421.85486,136299.95182,0.0049884339,0.0102570876,0.0137394606,0.0160637418
IV,1995,3,41,1996170.5135,4456435.8944,415480.21646,79782.053328,67220.436807,0.0083490034,0.0098088745,0.0132616257,0.0166934642
IV,1995,4,4,261362.79763,695766.77002,64406.059779,13476.591469,10288.762434,0.0061046132,0.0108239667,0.0144712533,0.0170852479
IV,1996,1,2,159100.92573,151694.98598,413880.11384,120935.34714,11009.30856,0.0066988094,0.0110245296,0.0147425667,0.0179292707
IV,1996,2,12,1114138.7865,985571.06775,2133762.441,746864.50068,66081.492199,0.0078017727,0.0118510734,0.0153860426,0.0172311125
IV,1996,3,8,1697737.5615,281309.40136,101296.15758,43327.851515,8142.8116425,0.0028855721,0.0063992167,0.0091394627,0.0119534017
IV,1996,4,3,192163.10689,8953.0151383,100091.16189,16667.78301,1725.5217668,0.0035074656,0.0062190166,0.008314601,0.0098164973
IV,1997,1,9,7540.6187623,2253692.7937,93732.969112,140969.59489,32782.477091,0.0072415765,0.0128416803,0.0150772943,0.0167811052
IV,1997,2,34,203477.34598,4612858.9818,845974.25159,237451.58324,76549.1895,0.0059128347,0.0121961242,0.0166084096,0.0211883236
IV,1997,3,12,634682.57847,728384.66195,156884.74092,32364.90722,14169.99019,0.0071930512,0.0098422767,0.0123864611,0.0152163496
IV,1997,4,1,120095.57952,111739.96966,19780.699,3989.0767554,2042.8182449,0.0054290582,0.0096261536,0.0128698205,0.0151945424
