div,year,quarter,n_samples,n0,n1,n2,n3,ton,mw0,mw1,mw2,mw3
IV,2013,2,23,490344.66902,2441273.4317,555314.44929,48272.137087,34401.263566,0.005191758,0.0098052081,0.0129181131,0.0154285369
IV,2013,3,2,193873.75212,2267.3762911,3127.3456172,4945.6191226,565.34926552,0.0025500278,0.0048153163,0.0066558263,0.0079328
IV,2013,4,8,5598328.971,44177.611018,41030.868864,42270.570299,12997.48785,0.0020592226,0.0088709679,0.0123280632,0.0135212984
IV,2014,1,113,412858.25335,9842810.1291,551951.86744,35433.380989,99110.61607,0.0053777402,0.0090729052,0.0128057828,0.0146541705
IV,2014,2,19,919620.51859,4533697.1903,212718.66376,15579.140331,45399.741815,0.0046144372,0.0084193778,0.012982078,0.0143426011
IV,2014,3,20,2130699.1722,2176229.9223,123794.98819,13169.086235,32247.051209,0.0056338968,0.0085431319,0.0118542304,0.0139416244
IV,2014,4,12,2338682.2497,35220.553134,3142.8733863,193.61150604,17442.654857,0.0072722705,0.0112116292,0.0119376923,0.0140827108
IV,2015,1,164,169170.26199,12980126.92,2177968.091,88182.455387,132097.1536,0.0054962877,0.0081714992,0.0109798916,0.0134466538
IV,2015,2,48,270642.43696,11562054.844,1317203.8678,170884.30534,120973.24634,0.0051404205,0.0087693527,0.0117754302,0.0154605117
IV,2015,3,22,432683.6586,2003254.8592,620710.44884,60772.534544,25705.567492,0.0041000131,0.007985458,0.011202528,0.0161442206
IV,2015,4,2,226713.33126,734791.88952,201617.69588,31872.617677,9860.5305016,0.00470287,0.008338564,0.0111483595,0.0131621278
IV,2016,1,90,3605940.8432,12619199.095,3289416.3903,255692.53029,164426.86128,0.0044321901,0.0083784238,0.0118358918,0.0147923614
IV,2016,2,30,3699732.0908,1552604.7585,1167415.2704,210514.10986,48117.381727,0.0044819256,0.0088413603,0.0124739505,0.0153813844
IV,2016,3,3,535815.19189,34725.219734,5686.7728769,1093.7669891,4793.6275269,0.0077362269,0.0146086173,0.0201923221,0.0240663814
IV,2016,4,0,150256.09128,9737.8272678,1594.7145161,306.7198449,1344.2540379,0.0078081304,0.0138444386,0.0185095155,0.0218529559
IV,2017,1,69,809707.23775,9994518.9486,563704.12716,53788.559995,94287.206625,0.0041412756,0.0083697902,0.0116211678,0.0135862125
IV,2017,2,21,1415986.0005,2740179.3273,154899.20252,59560.01889,29620.86181,0.0034798862,0.0079731884,0.0119162106,0.0167054966
