div,year,quarter,n_samples,n0,n1,n2,n3,ton,mw0,mw1,mw2,mw3,mw4
IV,2000,2,22,93074.991084,886202.73334,296083.34382,30642.93772,19647.838045,0.0065160997,0.0149617684,0.017663521,0.017858444,
IV,2000,3,22,1217953.9702,2864768.9047,1078598.9544,125958.61396,53690.834448,0.005408842,0.0106995603,0.0134330797,0.0155800421,
IV,2000,4,13,0,0,0,0,0,0.0036558917,0.0049241042,0.0125939059,0.0144717458,
IV,2001,1,23,18132.68467,5707534.7853,257845.09511,7171.5936145,65372.087903,0.0066974633,0.010875733,0.0118666403,0.0163571787,
IV,2001,2,9,645990.65339,4157334.1154,1270909.3443,350288.54726,76545.968649,0.0050055066,0.011940867,0.014056702,0.0166428218,
IV,2001,3,17,165280.21083,517000.13923,42864.785198,8965.8467485,8571.6853761,0.0066156247,0.0128854005,0.0154507992,0.0171990984,
IV,2001,4,4,0,0,0,0,0,0.0059969643,0.0105908528,0.0140753878,0.0165640601,
IV,2002,1,26,117217.56643,6617405.3975,412491.83435,72039.159061,80935.47053,0.0074180818,0.0110081304,0.0147235708,0.0159170716,
IV,2002,2,37,1045502.2587,4365079.7355,431238.49767,37181.27457,69008.074094,0.0083407711,0.0122037405,0.0148611101,0.0163777434,
IV,2002,3,28,1261519.197,1154862.7887,246611.24769,52929.569634,22205.479529,0.0047925907,0.0103688595,0.0137208135,0.0151374242,
IV,2002,4,5,0,0,0,0,0,0.0069765921,0.0116172081,0.0143754127,0.0159555166,
IV,2003,1,12,208156.43345,4054045.3911,472381.09185,61070.501403,60562.587945,0.0043041597,0.0125634434,0.0149596636,0.0232571985,
IV,2003,2,59,2898719.0253,6949574.513,871393.15371,151467.59321,108224.00253,0.0057468876,0.0109496486,0.0147161905,0.0174495936,
IV,2003,3,17,708242.22604,37614.350609,26858.30115,22010.214167,4607.8919967,0.0048641713,0.0123573778,0.0140060045,0.014624494,
IV,2003,4,2,0,0,0,0,0,0.0059969643,0.0105908528,0.0140753878,0.0165640601,
IV,2004,1,26,284216.0419,4285393.3638,537919.65789,55093.3723,60965.963895,0.0089225419,0.0116207617,0.0142935752,0.0170248279,
IV,2004,2,43,25555067.892,3535559.3858,197616.16744,39503.521112,146842.88411,0.0042083614,0.0101222638,0.0145930297,0.0158235664,
IV,2004,3,24,5168679.0415,273483.47581,37312.793633,12385.987821,19221.614259,0.0030790276,0.0099366974,0.0114851033,0.013002203,
IV,2004,4,13,0,0,0,0,0,0.0047886407,0.0101839265,0.0118473894,0.0134763659,
IV,2005,1,77,122876.73265,13268339.032,334136.03044,69017.411462,135990.96307,0.0076653935,0.0097488447,0.013506999,0.0166124862,
IV,2005,2,56,934600.41186,7683051.2721,185482.90853,14730.493818,87835.642669,0.0066972648,0.0103093814,0.0116090278,0.0146179791,
